Código,Cantidad,Nombre del Producto,Categoria
09-053,1,"ADAPTADOR TIPO C A TIPO C Y AUDIO 3,5MM HEMBRA 09-053",Adaptador
09-057,1,CONECTOR USB TIPO C MACHO A AUDIO 3.5 HEMBRA / MALLADO 09-057,Malla
1TJ09A,1,IMPRESORA A COLOR MULTIFUNCION HP SMART TANK 515 CON WIFI,Conectividad
2,1,CABLE PLUG 3.5 3MTS,Cable
4800,1,LAMPARA PROYECTOR SUNSET C/REMOTO USB 16 COLORES- NEGRO,Luces
8972,1,ESTABILIZADOR DE TENSION ATOMLUX R1000@ 220V 6 TOMAS 1000VA,Estabilizador
91009,1,PASTA GRASA SILICONADA METALICA X 5 CC. SERVEX 91009,Herramienta
9487,1,ADAPTADOR USB WIFI NOGA NG-UW04 DUAL BAND 600MBPS,Adaptador
A01-85607,11,MODULO PANTALLA  A03 / A03s / A02s / A04e  ORIG,Modulo
A01-R474,4,MODULO PANTALLA SAM A10 A105 ORIG,Modulo
A01-R66302,4,MODULO PANTALLA SAM A12 A125F ORIG MULTIVERSION*,Modulo
A01-R66319,1,MODULO PANTALLA SAMSUNG A02 A022F / M12 ORIGINAL SIN MARCO*,Modulo Original
A01-RC662326,3,MODULO PANTALLA SAM A04 SIN MARCO,Modulo
A01-RC66325,2,MODULO PANTALLA SAM A13 A135 4G / M13 ORIG*,Modulo
A01-RC663891,2,MODULO PANTALLA SAM A03 CORE A032F ORIG SIN MARCO,Modulo
A01-RC664788,2,MODULO PANTALLA SAM A12 A127F,Modulo
A01-RC85404,3,MODULO PANTALLA SAM A04E A042 SIN MARCO,Modulo
A01-RC85430,1,MODULO PANTALLA SAM A04S SIN MARCO,Modulo
A01-RC85541,2,MODULO PANTALLA SAM A06 SIN MARCO,Modulo
A02-R486,1,MODULO PANTALLA SAM A50 / A30 OLED SIN MARCO,Modulo
A02-R583,2,MODULO PANTALLA SAM A21S A217 ORIG SIN MARCO,Modulo
A02-RC66300,1,MODULO PANTALLA SAM A22 4G OL CON MARCO,Modulo
A02-RC66362,2,MODULO PANTALLA SAM A20 INC SIN MARCO,Modulo
A02-RC667420,3,MODULO PANTALLA SAM A22 5G OL SIN MARCO,Modulo
A02-RC857325,2,MODULO PANTALLA SAM A23 5G ORIG,Modulo
A03-R513,1,MODULO PANTALLA SAM J4 PLUS J4 CORE J6 PLUS J6CORE,Modulo
A03-R584,1,MODULO PANTALLA SAMS A31 SERVICE PACK,Modulo
A03-R585,2,MODULO PANTALLA SAM A51 A515 OL SIN MARCO*,Modulo
A03-R66279,2,MODULO PANTALLA SAM A31 OL CON MARCO*,Modulo
A03-R66303,2,MODULO PANTALLA SAM J7 PRIME G610 NEGRO S/L,Modulo
A03-RC66384,1,MODULO PANTALLA SAM S21 FE ORIG CON MARCO,Modulo
A03-RC669069,2,MODULO PANTALLA SAM A32 4G OL CON MARCO,Modulo
A03-RC85438,1,MODULO PANTALLA SAMSUNG A32 4G A325 INCELL CON MARCO,Modulo
A03-RC85462,1,MODULO PANTALLA SAM S23 ULTRA ORIG CON MARCO SERVICE PACK,Modulo
A03-RC85463,1,MODULO PANTALLA SAMSUNG S23 ULTRA OLED CON MARCO,Modulo
A03-RC855238,1,MODULO PANTALLA SAMSUNG J6 J600 INCELL,Modulo
A04-RC85431,1,MODULO PANTALLA SAM A54 SERVICE PACK,Modulo
A04-RC85528,2,MODULO PANTALLA SAM A35 A356 INCELL Silver Edition,Modulo
A04-RC85547,1,MODULO PANTALLA SAM A35 A356 SERVICE PACK,Modulo
